4,4,4,3,3,3,29
4,4,4,3,3,2,39
4,4,4,3,3,1,49
4,4,4,3,2,3,33
4,4,4,3,2,2,43
4,4,4,3,2,1,53
4,4,4,3,1,3,36
4,4,4,3,1,2,46
4,4,4,3,1,1,56
4,4,4,2,3,3,32
4,4,4,2,3,2,42
4,4,4,2,3,1,52
4,4,4,2,2,3,36
4,4,4,2,2,2,46
4,4,4,2,2,1,56
4,4,4,2,1,3,39
4,4,4,2,1,2,49
4,4,4,2,1,1,59
4,4,4,1,3,3,36
4,4,4,1,3,2,46
4,4,4,1,3,1,56
4,4,4,1,2,3,39
4,4,4,1,2,2,49
4,4,4,1,2,1,59
4,4,4,1,1,3,42
4,4,4,1,1,2,52
4,4,4,1,1,1,62
4,4,3,3,3,3,32
4,4,3,3,3,2,42
4,4,3,3,3,1,52
4,4,3,3,2,3,35
4,4,3,3,2,2,45
4,4,3,3,2,1,55
4,4,3,3,1,3,38
4,4,3,3,1,2,48
4,4,3,3,1,1,58
4,4,3,2,3,3,35
4,4,3,2,3,2,45
4,4,3,2,3,1,55
4,4,3,2,2,3,38
4,4,3,2,2,2,48
4,4,3,2,2,1,58
4,4,3,2,1,3,42
4,4,3,2,1,2,52
4,4,3,2,1,1,62
4,4,3,1,3,3,38
4,4,3,1,3,2,48
4,4,3,1,3,1,58
4,4,3,1,2,3,42
4,4,3,1,2,2,52
4,4,3,1,2,1,62
4,4,3,1,1,3,45
4,4,3,1,1,2,55
4,4,3,1,1,1,65
4,4,2,3,3,3,34
4,4,2,3,3,2,44
4,4,2,3,3,1,54
4,4,2,3,2,3,38
4,4,2,3,2,2,48
4,4,2,3,2,1,58
4,4,2,3,1,3,41
4,4,2,3,1,2,51
4,4,2,3,1,1,61
4,4,2,2,3,3,38
4,4,2,2,3,2,48
4,4,2,2,3,1,58
4,4,2,2,2,3,41
4,4,2,2,2,2,51
4,4,2,2,2,1,61
4,4,2,2,1,3,44
4,4,2,2,1,2,54
4,4,2,2,1,1,64
4,4,2,1,3,3,41
4,4,2,1,3,2,51
4,4,2,1,3,1,61
4,4,2,1,2,3,44
4,4,2,1,2,2,54
4,4,2,1,2,1,64
4,4,2,1,1,3,48
4,4,2,1,1,2,58
4,4,2,1,1,1,68
4,4,1,3,3,3,37
4,4,1,3,3,2,47
4,4,1,3,3,1,57
4,4,1,3,2,3,40
4,4,1,3,2,2,50
4,4,1,3,2,1,60
4,4,1,3,1,3,43
4,4,1,3,1,2,53
4,4,1,3,1,1,63
4,4,1,2,3,3,40
4,4,1,2,3,2,50
4,4,1,2,3,1,60
4,4,1,2,2,3,43
4,4,1,2,2,2,53
4,4,1,2,2,1,63
4,4,1,2,1,3,47
4,4,1,2,1,2,57
4,4,1,2,1,1,67
4,4,1,1,3,3,43
4,4,1,1,3,2,53
4,4,1,1,3,1,63
4,4,1,1,2,3,47
4,4,1,1,2,2,57
4,4,1,1,2,1,67
4,4,1,1,1,3,50
4,4,1,1,1,2,60
4,4,1,1,1,1,70
4,3,4,3,3,3,34
4,3,4,3,3,2,44
4,3,4,3,3,1,54
4,3,4,3,2,3,38
4,3,4,3,2,2,48
4,3,4,3,2,1,58
4,3,4,3,1,3,41
